"SYMBOL 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","NO. OF SECURITY (POST) 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","MODE OF ACQUISITION 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
",is_insider
360ONE,SIDHARTHA SHAW,-,Equity Shares,0.03,10000.0,6020012,Sell,106480,2023-12-04,Market Sale,0,0
360ONE,Niraj Murarka,-,Equity Shares,0.0,5000.0,3135150,Sell,1750,2023-12-04,Market Sale,0,0
360ONE,SIDHARTHA SHAW,-,Equity Shares,0.04,10000.0,5851435,Sell,116480,2023-12-01,Market Sale,0,0
360ONE,Anup Maheshwari,-,Equity Shares,0.05,10161.0,5966742,Sell,170334,2023-12-01,Market Sale,0,0
360ONE,Anup Maheshwari,-,Equity Shares,0.04,19839.0,12062075,Sell,150495,2023-12-04,Market Sale,0,0
360ONE,Priya Biswas,-,Equity Shares,0.02,2000.0,1162520,Sell,52520,2023-12-01,Market Sale,0,0
360ONE,Runia Sen,-,Equity Shares,0.02,12900.0,7478450,Sell,70492,2023-12-01,Market Sale,0,0
360ONE,Ramesh Negi,-,Equity Shares,0.0,2000.0,1174000,Sell,5000,2023-12-01,Market Sale,0,0
360ONE,Sumit Vohra,-,Equity Shares,0.03,2000.0,1134000,Sell,107632,2023-11-29,Market Sale,0,0
360ONE,Saief Aamir,-,Equity Shares,0.0,3452.0,1869603,Sell,Nil,2023-11-24,Market Sale,0,0
360ONE,Sanjay Wadhwa,Key Managerial Personnel,Equity Shares,0.0,4500.0,2593738,Sell,Nil,2023-11-30,Market Sale,0,0
360ONE,Chetan Naik,-,Equity Shares,0.0,6500.0,3695500,Sell,Nil,2023-11-30,Market Sale,0,0
360ONE,Santosh Pillai,-,Equity Shares,0.0,12500.0,6946250,Sell,Nil,2023-11-29,Market Sale,0,0
360ONE,Anirudha Taparia,-,Equity Shares,0.31,155000.0,85920147,Sell,968641,2023-11-29,Market Sale,0,0
360ONE,Reena Kumar,-,Equity Shares,0.0,3484.0,1986471,Sell,6480,2023-11-30,Market Sale,0,0
360ONE,Vishwambar Shetty,-,Equity Shares,0.0,2720.0,1513544,Sell,Nil,2023-11-29,Market Sale,0,0
360ONE,Mayur Patel,-,Equity Shares,0.01,10000.0,5838021,Sell,18000,2023-12-01,Market Sale,0,0
360ONE,Saief Aamir,-,Equity Shares,0.0,3452.0,1869603,Sell,Nil,2023-11-24,Market Sale,0,0
360ONE,Sanjay Wadhwa,Key Managerial Personnel,Equity Shares,0.0,4500.0,2593738,Sell,Nil,2023-11-30,Market Sale,0,0
360ONE,Chetan Naik,-,Equity Shares,0.0,6500.0,3695500,Sell,Nil,2023-11-30,Market Sale,0,0
360ONE,Santosh Pillai,-,Equity Shares,0.0,12500.0,6946250,Sell,Nil,2023-11-29,Market Sale,0,0
360ONE,Anirudha Taparia,-,Equity Shares,0.31,155000.0,85920147,Sell,968641,2023-11-29,Market Sale,0,0
360ONE,Reena Kumar,-,Equity Shares,0.0,3484.0,1986471,Sell,6480,2023-11-30,Market Sale,0,0
360ONE,Vishwambar Shetty,-,Equity Shares,0.0,2720.0,1513544,Sell,Nil,2023-11-29,Market Sale,0,0
360ONE,Mayur Patel,-,Equity Shares,0.01,10000.0,5838021,Sell,18000,2023-12-01,Market Sale,0,0
360ONE,Anirudha Taparia,-,Equity Shares,0.38,245000.0,134309430,Sell,1123641,2023-11-21,Market Sale,0,0
360ONE,Mayur Patel,-,Equity Shares,0.01,20000.0,11000580,Sell,28000,2023-11-21,Market Sale,0,0
360ONE,Triparna Banerjee Sen,-,Equity Shares,0.0,3000.0,1691237,Sell,Nil,2023-11-15,Market Sale,0,0
360ONE,Triparna Banerjee Sen,-,Equity Shares,0.0,3000.0,1691237,Sell,Nil,2023-11-15,Market Sale,0,0
360ONE,Atul Shah,-,Equity Shares,0.0,2000.0,1106555,Sell,Nil,2023-11-09,Market Sale,0,0
360ONE,ORPHEUS TRADING PVT LTD,Promoter Group,Equity Shares,0.26,888974.0,497825518,Sell,53882,2023-11-16,Market Sale,0,0
360ONE,Japhia Walker,-,Equity Shares,0.02,3000.0,1685704,Sell,80304,2023-11-15,Market Sale,0,0
360ONE,ORPHEUS TRADING PVT LTD,Promoter Group,Equity Shares,0.26,888974.0,497825518,Sell,53882,2023-11-16,Market Sale,0,0
360ONE,Japhia Walker,-,Equity Shares,0.02,3000.0,1685704,Sell,80304,2023-11-15,Market Sale,0,0
360ONE,Atul Shah,-,Equity Shares,0.0,2000.0,1106555,Sell,Nil,2023-11-09,Market Sale,0,0
360ONE,Mehul Jani,-,Equity Shares,0.01,20000.0,10940011,Sell,2400,2023-11-15,Market Sale,0,0
360ONE,Anup Maheshwari,-,Equity Shares,0.06,22705.0,12772715,Sell,180495,2023-11-15,Market Sale,0,0
360ONE,Priya Biswas,-,Equity Shares,0.02,2000.0,1121497,Sell,54520,2023-11-15,Market Sale,0,0
360ONE,Mehul Jani,-,Equity Shares,0.01,20000.0,10940011,Sell,2400,2023-11-15,Market Sale,0,0
360ONE,Chetan Naik,-,Equity Shares,0.0,4000.0,2240000,Sell,6500,2023-11-15,Market Sale,0,0
360ONE,VANDANA RANGARAJAN,-,Equity Shares,0.0,13060.0,7069317,Sell,Nil,2023-11-13,Market Sale,0,0
360ONE,Anup Maheshwari,-,Equity Shares,0.06,22705.0,12772715,Sell,180495,2023-11-15,Market Sale,0,0
360ONE,Gurpartap Singh,-,Equity Shares,0.0,1802.0,1014825,Sell,Nil,2023-11-15,Market Sale,0,0
360ONE,Priya Biswas,-,Equity Shares,0.02,2000.0,1121497,Sell,54520,2023-11-15,Market Sale,0,0
360ONE,Gurpartap Singh,-,Equity Shares,0.0,1802.0,1014825,Sell,Nil,2023-11-15,Market Sale,0,0
360ONE,Chetan Naik,-,Equity Shares,0.0,4000.0,2240000,Sell,6500,2023-11-15,Market Sale,0,0
360ONE,VANDANA RANGARAJAN,-,Equity Shares,0.0,13060.0,7069317,Sell,Nil,2023-11-13,Market Sale,0,0
360ONE,Santhosh Thyagarajan,-,Equity Shares,0.03,31763.0,17247309,Sell,61136,2023-11-13,Market Sale,0,0
360ONE,Santhosh Thyagarajan,-,Equity Shares,0.03,28237.0,15332691,Sell,92899,2023-11-10,Market Sale,0,0
360ONE,Raghuvir Mukherji,-,Equity Shares,0.0,4000.0,2169562,Sell,2000,2023-11-10,Market Sale,0,0
360ONE,Abhishek Shah,-,Equity Shares,0.01,21000.0,11335782,Sell,Nil,2023-11-10,Market Sale,0,0
360ONE,Mehul Jani,-,Equity Shares,0.01,20000.0,10840004,Sell,22400,2023-11-10,Market Sale,0,0
360ONE,Sanjay Wadhwa,Key Managerial Personnel,Equity Shares,0.0,9000.0,4901362,Sell,4500,2023-11-09,Market Sale,0,0
360ONE,Bobby Srinivasan,-,Equity Shares,0.0,2000.0,1079160,Sell,Nil,2023-11-06,Market Sale,0,0
360ONE,Chetan Naik,-,Equity Shares,0.0,6500.0,3522710,Sell,10500,2023-11-10,Market Sale,0,0
360ONE,Karanjeet Singh,-,Equity Shares,0.02,3508.0,1861192,Sell,66988,2023-11-07,Market Sale,0,0
360ONE,Karanjeet Singh,-,Equity Shares,0.02,5720.0,3024888,Sell,70496,2023-11-06,Market Sale,0,0
360ONE,Ashwina Raghavan,-,Equity Shares,0.0,3556.0,1884680,Sell,Nil,2023-11-07,Market Sale,0,0
360ONE,Anshuman Maheshwary,-,Equity Shares,0.06,180000.0,95559400,Sell,40608,2023-11-06,Market Sale,0,0
360ONE,Aman Chadha,-,Equity Shares,0.0,6068.0,3235096,Sell,Nil,2023-11-06,Market Sale,0,0
ANNAPURNA,Anisha Agarwal,Promoter Group,Equity Shares,0.16,12000.0,3726000,Sell,15000,2023-12-28,Market Sale,0,0
ANNAPURNA,Anisha Agarwal,Promoter Group,Equity Shares,0.29,23000.0,7459257,Sell,27000,2023-12-22,Market Sale,0,0
ANNAPURNA,Anisha Agarwal,Promoter Group,Equity Shares,0.37,15000.0,4980000,Sell,50000,2023-12-19,Market Sale,0,0
ANNAPURNA,RAVI SARDA,Key Managerial Personnel,Equity Shares,0.58,100000.0,30570125,Sell,Nil,2023-11-28,Market Sale,0,0
ANNAPURNA,PREETI SARDA,Other,Equity Shares,0.29,51000.0,15555600,Sell,Nil,2023-11-12,Market Sale,0,0
ANNAPURNA,RAHUL SUREKA,Employees/Designated Employees,Equity Shares,0.58,100000.0,30500350,Sell,Nil,2023-11-12,Market Sale,0,0
ANNAPURNA,SWETA SUREKA,Other,Equity Shares,0.29,51000.0,15722725,Sell,Nil,2023-11-12,Market Sale,0,0
MHRIL,Arun Kumar Nanda,Employees/Designated Employees,Equity Shares,0.85,50000.0,18768890,Sell,1669417,2023-12-29,Market Sale,0,1
MHRIL,Priyanka Gidwani,Employees/Designated Employees,Equity Shares,0.0,5000.0,1868450,Sell,Nil,2023-12-27,Market Sale,0,1
MHRIL,Dhanraj Mulki,Key Managerial Personnel,Equity Shares,0.01,10000.0,3733532,Sell,10000,2023-12-28,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.04,75000.0,28033569,Sell,10000,2023-12-27,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.06,41648.0,15203610,Sell,85000,2023-12-22,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.11,105325.0,38095042,Sell,126648,2023-12-20,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.13,37211.0,14273333,Sell,231973,2023-12-18,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.14,16560.0,64544091,Sell,269184,2023-12-14,Market Sale,0,1
MHRIL,Rohit Malik,Employees/Designated Employees,Equity Shares,0.0,700.0,277300,Sell,4633,2023-12-12,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.15,8787.0,3444235,Sell,285744,2023-12-12,Market Sale,0,1
MHRIL,Anupam Srivastava,Employees/Designated Employees,Equity Shares,0.0,2816.0,18770,Buy,2816,2023-12-10,ESOP,0,1
MHRIL,Rohit Malik,Employees/Designated Employees,Equity Shares,0.0,3333.0,33330,Buy,5578,2023-12-10,ESOP,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.16,25386.0,9973151,Sell,294531,2023-12-08,Market Sale,0,1
MHRIL,Bharat Sundaresan,Employees/Designated Employees,Equity Shares,0.0,4377.0,43770,Buy,4377,2023-12-10,ESOP,0,1
MHRIL,Gopal Menghani,Employees/Designated Employees,Equity Shares,0.0,4255.0,42550,Buy,4255,2023-12-10,ESOP,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.17,18312.0,7175065,Sell,319917,2023-12-06,Market Sale,0,1
MHRIL,Mahindra Holidays & Resorts India Limited Employees Stock Option Trust,Other,Equity Shares,0.21,10000.0,1560000,Sell,415124,2023-12-04,ESOP,0,1
MHRIL,Dhanraj Mulki,Key Managerial Personnel,Equity Shares,0.01,10000.0,1560000,Buy,20000,2023-12-04,ESOP,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.18,25772.0,10146566,Sell,338229,2023-12-01,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.21,60000.0,23472748,Sell,364001,2023-11-30,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.22,11745.0,4570386,Sell,424001,2023-11-28,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.22,9778.0,3839439,Sell,435746,2023-11-24,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.22,5455.0,2149911,Sell,445524,2023-11-23,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.24,24865.0,9925924,Sell,450979,2023-11-17,Market Sale,0,1
MHRIL,Mahindra Holidays & Resorts India Limited Employees Stock Option Trust,Other,Equity Shares,0.21,5000.0,716650,Sell,425124,2023-11-16,ESOP,0,1
MHRIL,Priyanka Gidwani,Employees/Designated Employees,Equity Shares,0.0,5000.0,716650,Buy,5000,2023-11-16,ESOP,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.25,25657.0,10251087,Sell,475844,2023-11-15,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.25,6505.0,2603375,Sell,501501,2023-11-13,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.26,17901.0,7218367,Sell,508006,2023-11-10,Market Sale,0,1
MHRIL,Dhanraj Mulki,Key Managerial Personnel,Equity Shares,0.02,20000.0,8026001,Sell,10000,2023-11-10,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.22,89833.0,398330,Buy,525907,2023-11-13,ESOP,0,1
MHRIL,Rohit Malik,Employees/Designated Employees,Equity Shares,0.0,4045.0,26970,Buy,4045,2023-11-13,ESOP,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.22,6814.0,2746780,Sell,436074,2023-11-12,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.24,34063.0,13721209,Sell,442888,2023-11-09,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.26,38727.0,15611174,Sell,476951,2023-11-08,Market Sale,0,1
MHRIL,Kavinder Singh,Director,Equity Shares,0.26,6081.0,2457304,Sell,515678,2023-11-06,Market Sale,0,1
CHEMBOND,AMRITA S. SHAH,Promoter Group,Equity Shares,0.33,100.0,44660,Buy,45218,2023-11-12,Market Purchase,0,0
CHEMBOND,Mallika S Shah,Promoter Group,Equity Shares,0.25,100.0,45200,Buy,33700,2023-11-12,Market Purchase,0,0
CHEMBOND,Raunaq S Shah,Promoter Group,Equity Shares,0.11,102.0,46410,Buy,15050,2023-11-12,Market Purchase,0,0
CHEMBOND,Sameer V Shah,Promoters,Equity Shares,12.54,100.0,45200,Buy,1686844,2023-11-12,Market Purchase,0,0
CHEMBOND,SAMEER V. SHAH HUF,Promoter Group,Equity Shares,0.87,100.0,45000,Buy,117481,2023-11-12,Market Purchase,0,0
CHEMBOND,SHILPA SAMEER SHAH,Promoter Group,Equity Shares,0.5,100.0,44900,Buy,66695,2023-11-12,Market Purchase,0,0
CHEMBOND,Padma V Shah,Promoter Group,Equity Shares,12.57,100.0,44200,Buy,1691100,2023-11-12,Market Purchase,0,0
CHEMBOND,NIRMAL V SHAH,Promoters,Equity Shares,13.35,200.0,89200,Buy,1795090,2023-11-12,Market Purchase,0,0
CHEMBOND,Mamta N Shah,Promoter Group,Equity Shares,0.79,100.0,44200,Buy,106100,2023-11-12,Market Purchase,0,0
CHEMBOND,Kshitija N Shah,Promoter Group,Equity Shares,0.19,100.0,44200,Buy,27100,2023-11-12,Market Purchase,0,0
CHEMBOND,Rahil N Shah,Promoter Group,Equity Shares,0.02,50.0,22100,Buy,2250,2023-11-12,Market Purchase,0,0
SBFC,Mamidi Bhaskar Kumar,-,Equity Shares,0.01,20000.0,1856750,Sell,42812,2023-12-20,Market Sale,0,1
SBFC,Ish Chawla,-,Equity Shares,0.03,49900.0,4704073,Sell,300000,2023-12-12,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.33,200000.0,18810000,Sell,14004858,2023-12-12,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.33,15308.0,1382312,Sell,14204858,2023-12-11,Market Sale,0,1
SBFC,Aseem Dhru,Director,Equity Shares,3.22,107153.0,9505543,Sell,34308167,2023-12-05,Market Sale,0,1
SBFC,Aseem Dhru,Director,Equity Shares,3.25,292847.0,26350373,Sell,34415320,2023-12-04,Market Sale,0,1
SBFC,Aseem Dhru,Director,Equity Shares,3.21,150000.0,13191000,Sell,34158167,2023-12-06,Market Sale,0,1
SBFC,Ashish Singh,-,Equity Shares,0.03,195138.0,17542906,Sell,104862,2023-12-04,Market Sale,0,1
SBFC,Viney Vaid,-,Equity Shares,0.02,65000.0,5655000,Sell,137500,2023-11-30,Market Sale,0,1
SBFC,Pragnesh Soneji,-,Equity Shares,0.03,134844.0,11747543,Sell,221125,2023-11-28,Market Sale,0,1
SBFC,Pragnesh Soneji,-,Equity Shares,0.04,85156.0,7566281,Sell,355969,2023-11-23,Market Sale,0,1
SBFC,AMIT  SHARMA,-,Equity Shares,0.01,30000.0,2640900,Sell,27000,2023-11-23,Market Sale,0,1
SBFC,Kiran Kumar Lade,-,Equity Shares,0.02,60000.0,5511000,Sell,181187,2023-11-16,Market Sale,0,1
SBFC,Agnivesh Kumar,-,Equity Shares,0.0,17376.0,1581216,Sell,400,2023-11-21,Market Sale,0,1
SBFC,Shanesh Jain,-,Equity Shares,0.0,22500.0,2054475,Sell,Nil,2023-11-21,-,0,1
SBFC,Shanesh Jain,-,Equity Shares,0.0,22500.0,900000,Buy,22500,2023-11-07,-,0,1
SBFC,RAMA CHANDRA RAJU PENUMESTA,-,Equity Shares,0.01,50000.0,4690000,Sell,56500,2023-11-13,Market Sale,0,1
SBFC,Saiprashant Menon,-,Equity Shares,0.05,200000.0,18168433,Sell,309999,2023-11-13,Market Sale,0,1
SBFC,Sanket Mohan Agrawal,-,Equity Shares,0.02,100000.0,9210000,Sell,125750,2023-11-13,Market Sale,0,1
SBFC,Agnivesh Kumar,-,Equity Shares,0.02,42037.0,3703639,Sell,17776,2023-11-12,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.43,624167.0,54258948,Sell,14677976,2023-11-12,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.37,457810.0,41878520,Sell,14220166,2023-11-13,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.45,100000.0,8350000,Sell,15302143,2023-11-09,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.47,261084.0,21765514,Sell,15402143,2023-11-08,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.44,100000.0,8350000,Sell,15302143,2023-11-09,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.47,261084.0,21765514,Sell,15402143,2023-11-08,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.45,100000.0,8350000,Sell,15302143,2023-11-09,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.47,261084.0,21765514,Sell,15402143,2023-11-08,Market Sale,0,1
SBFC,Sanket Agrawal,-,Equity Shares,0.02,60750.0,2430000,Buy,225750,2023-11-07,ESOP,0,1
SBFC,Amit Sharma,-,Equity Shares,0.0,39000.0,1353750,Buy,57000,2023-11-07,ESOP,0,1
SBFC,Subhash Chander Sharma,-,Equity Shares,0.0,35500.0,1213750,Buy,53500,2023-11-07,ESOP,0,1
SBFC,Vinay Agrawal,-,Equity Shares,0.02,110062.0,3929980,Buy,367062,2023-11-07,ESOP,0,1
SBFC,Kiran Kumar Lade,-,Equity Shares,0.01,101187.0,3732480,Buy,241187,2023-11-07,ESOP,0,1
SBFC,Mahesh Dayani,-,Equity Shares,1.14,3520000.0,44000000,Buy,15663227,2023-11-07,ESOP,0,1
SBFC,Narayan Barasia,-,Equity Shares,0.22,120000.0,1500000,Buy,2525000,2023-11-07,ESOP,0,1
SBFC,Saiprashant Menon,-,Equity Shares,0.04,90000.0,1125000,Buy,509999,2023-11-07,ESOP,0,1
SBFC,Sumeet Raj Ghai,-,Equity Shares,0.0,30000.0,1200000,Buy,30000,2023-11-07,ESOP,0,1
SBFC,Jayesh Ashok Kedari,-,Equity Shares,0.0,38125.0,1318750,Buy,56125,2023-11-07,ESOP,0,1
SBFC,Pragnesh Soneji,-,Equity Shares,0.0,441125.0,6645000,Buy,441125,2023-11-07,ESOP,0,1
SBFC,Shanesh Jain,-,Equity Shares,0.0,9900.0,814572,Sell,8100,2023-11-06,Market Sale,0,1
SBFC,Shanesh Jain,-,Equity Shares,0.0,18000.0,720000,Buy,18000,2023-10-04,ESOP,0,1
SBFC,Shanesh Jain,-,Equity Shares,0.0,8100.0,672219,Sell,Nil,2023-11-07,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.16,278881.0,23171067,Sell,12143227,2023-11-07,Market Sale,0,1
SBFC,Mahesh Kanyalal Dayani,-,Equity Shares,1.18,228058.0,18961767,Sell,12422108,2023-11-06,Market Sale,0,1
LALPATHLAB,JAYESH HINGE,Employees/Designated Employees,Equity Shares,0.0,200.0,386010,Buy,200,2023-12-07,ESOP,0,1
LALPATHLAB,Bharath U,Key Managerial Personnel,Equity Shares,0.02,1036.0,2672478,Sell,17400,2023-12-27,Market Sale,0,1
LALPATHLAB,JAYESH HINGE,Employees/Designated Employees,Equity Shares,0.0,200.0,514022,Sell,Nil,2023-12-29,Market Sale,0,1
LALPATHLAB,Om Prakash Manchanda,Director,Equity Shares,1.24,9500.0,24722287,Sell,1029079,2023-12-26,Market Sale,0,1
LALPATHLAB,Manoj Kumar Garg,Employees/Designated Employees,Equity Shares,0.03,750.0,1950000,Sell,22583,2023-12-21,Market Sale,0,1
LALPATHLAB,Dr. Lal PathLabs Employees Welfare Trust,Other,Equity Shares,0.37,1650.0,16500,Sell,308286,2023-12-22,ESOP,0,1
LALPATHLAB,Manoj Kumar Garg,Employees/Designated Employees,Equity Shares,0.03,1650.0,16500,Buy,24233,2023-12-22,ESOP,0,1
LALPATHLAB,Bharath U,Key Managerial Personnel,Equity Shares,0.03,3000.0,7584466,Sell,18436,2023-12-20,Market Sale,0,1
LALPATHLAB,Bharath U,Key Managerial Personnel,Equity Shares,0.02,1500.0,2895075,Buy,21436,2023-12-20,ESOP,0,1
LALPATHLAB,Dr. Lal PathLabs Employees Welfare Trust,Other,Equity Shares,0.38,3350.0,2971177,Sell,309936,2023-12-20,ESOP,0,1
LALPATHLAB,Shankha Banerjee,Employees/Designated Employees,Equity Shares,0.03,1350.0,13500,Buy,24760,2023-12-20,ESOP,0,1
LALPATHLAB,Anil Chandwani,Employees/Designated Employees,Equity Shares,0.02,600.0,6000,Buy,17396,2023-12-12,ESOP,0,1
LALPATHLAB,Dr. Lal PathLabs Employees Welfare Trust,Other,Equity Shares,0.38,1275.0,396760,Sell,313286,2023-12-06,ESOP,0,1
LALPATHLAB,Bharath U,Key Managerial Personnel,Equity Shares,0.03,1000.0,2588522,Sell,19936,2023-12-11,Market Sale,0,1
LALPATHLAB,Abhishek Aggarwal,Employees/Designated Employees,Equity Shares,0.0,375.0,3750,Buy,375,2023-12-12,ESOP,0,1
